financial_year,state,area_of_expenditure,broad_source_of_funding,detailed_source_of_funding,real_expenditure_millions
2004-05,SA,Administration,Government,Australian Government,133
2004-05,SA,Administration,Government,State and local,265
2004-05,SA,Aids and appliances,Government,Australian Government,30
2004-05,SA,All other medications,Government,Australian Government,14
2004-05,SA,Benefit-paid pharmaceuticals,Government,Australian Government,499
2004-05,SA,Capital expenditure,Government,Australian Government,15
2004-05,SA,Capital expenditure,Government,State and local,219
2004-05,SA,Community health,Government,Australian Government,57
2004-05,SA,Community health,Government,State and local,360
2004-05,SA,Dental services,Government,Australian Government,47
2004-05,SA,Dental services,Government,State and local,60
2004-05,SA,Medical expense tax rebate,Government,Australian Government,19
2004-05,SA,Medical services,Government,Australian Government,1041
2004-05,SA,Other health practitioners,Government,Australian Government,69
2004-05,SA,Patient transport services,Government,Australian Government,14
2004-05,SA,Patient transport services,Government,State and local,69
2004-05,SA,Private hospitals,Government,Australian Government,192
2004-05,SA,Private hospitals,Government,State and local,6
2004-05,SA,Public health,Government,Australian Government,88
2004-05,SA,Public health,Government,State and local,60
2004-05,SA,Public hospitals,Government,Australian Government,1023
2004-05,SA,Public hospitals,Government,State and local,1160
2004-05,SA,Research,Government,Australian Government,157
2004-05,SA,Research,Government,State and local,22
2004-05,TAS,Administration,Government,Australian Government,41
2004-05,TAS,Administration,Government,State and local,49
2004-05,TAS,Aids and appliances,Government,Australian Government,9
2004-05,TAS,All other medications,Government,Australian Government,7
2004-05,TAS,Benefit-paid pharmaceuticals,Government,Australian Government,159
2004-05,TAS,Capital expenditure,Government,Australian Government,7
2004-05,TAS,Capital expenditure,Government,State and local,28
2004-05,TAS,Community health,Government,Australian Government,13
2004-05,TAS,Community health,Government,State and local,93
2004-05,TAS,Dental services,Government,Australian Government,10
2004-05,TAS,Dental services,Government,State and local,13
2004-05,TAS,Medical expense tax rebate,Government,Australian Government,4
2004-05,TAS,Medical services,Government,Australian Government,312
2004-05,TAS,Other health practitioners,Government,Australian Government,21
2004-05,TAS,Patient transport services,Government,Australian Government,3
2004-05,TAS,Patient transport services,Government,State and local,34
2004-05,TAS,Private hospitals,Government,Australian Government,69
2004-05,TAS,Private hospitals,Government,State and local,28
2004-05,TAS,Public health,Government,Australian Government,35
2004-05,TAS,Public health,Government,State and local,18
2004-05,TAS,Public hospitals,Government,Australian Government,272
2004-05,TAS,Public hospitals,Government,State and local,231
2004-05,TAS,Research,Government,Australian Government,35
2004-05,TAS,Research,Government,State and local,7
2004-05,ACT,Administration,Government,Australian Government,67
2004-05,ACT,Administration,Government,State and local,103
2004-05,ACT,Aids and appliances,Government,Australian Government,5
2004-05,ACT,All other medications,Government,Australian Government,3
2004-05,ACT,Benefit-paid pharmaceuticals,Government,Australian Government,76
2004-05,ACT,Capital expenditure,Government,Australian Government,4
2004-05,ACT,Capital expenditure,Government,State and local,29
2004-05,ACT,Community health,Government,Australian Government,7
2004-05,ACT,Community health,Government,State and local,127
2004-05,ACT,Dental services,Government,Australian Government,9
2004-05,ACT,Dental services,Government,State and local,9
2004-05,ACT,Medical expense tax rebate,Government,Australian Government,12
2004-05,ACT,Medical services,Government,Australian Government,214
2004-05,ACT,Other health practitioners,Government,Australian Government,4
2004-05,ACT,Patient transport services,Government,Australian Government,4
2004-05,ACT,Patient transport services,Government,State and local,4
2004-05,ACT,Private hospitals,Government,Australian Government,33
2004-05,ACT,Private hospitals,Government,State and local,0
2004-05,ACT,Public health,Government,Australian Government,23
2004-05,ACT,Public health,Government,State and local,25
2004-05,ACT,Public hospitals,Government,Australian Government,163
2004-05,ACT,Public hospitals,Government,State and local,281
2004-05,ACT,Research,Government,Australian Government,147
2004-05,ACT,Research,Government,State and local,16
2004-05,NT,Administration,Government,Australian Government,21
2004-05,NT,Administration,Government,State and local,37
2004-05,NT,Aids and appliances,Government,Australian Government,2
2004-05,NT,All other medications,Government,Australian Government,4
2004-05,NT,Benefit-paid pharmaceuticals,Government,Australian Government,33
2004-05,NT,Capital expenditure,Government,Australian Government,8
2004-05,NT,Capital expenditure,Government,State and local,10
2004-05,NT,Community health,Government,Australian Government,74
2004-05,NT,Community health,Government,State and local,126
2004-05,NT,Dental services,Government,Australian Government,2
2004-05,NT,Dental services,Government,State and local,11
2004-05,NT,Medical expense tax rebate,Government,Australian Government,1
2004-05,NT,Medical services,Government,Australian Government,81
2004-05,NT,Other health practitioners,Government,Australian Government,5
2004-05,NT,Patient transport services,Government,Australian Government,5
2004-05,NT,Patient transport services,Government,State and local,41
2004-05,NT,Private hospitals,Government,Australian Government,8
2004-05,NT,Private hospitals,Government,State and local,0
2004-05,NT,Public health,Government,Australian Government,24
2004-05,NT,Public health,Government,State and local,57
2004-05,NT,Public hospitals,Government,Australian Government,130
2004-05,NT,Public hospitals,Government,State and local,280
2004-05,NT,Research,Government,Australian Government,8
2004-05,NT,Research,Government,State and local,2
2005-06,NSW,Administration,Government,Australian Government,497
2005-06,NSW,Aids and appliances,Government,Australian Government,125
2005-06,NSW,All other medications,Government,Australian Government,34
2005-06,NSW,Benefit-paid pharmaceuticals,Government,Australian Government,2103
2005-06,NSW,Capital expenditure,Government,Australian Government,25
2005-06,NSW,Capital expenditure,Government,State and local,643
2005-06,NSW,Community health,Government,Australian Government,121
2005-06,NSW,Community health,Government,State and local,1333
2005-06,NSW,Dental services,Government,Australian Government,183
2005-06,NSW,Dental services,Government,State and local,156
2005-06,NSW,Medical expense tax rebate,Government,Australian Government,169
2005-06,NSW,Medical services,Government,Australian Government,4824
2005-06,NSW,Other health practitioners,Government,Australian Government,277
2005-06,NSW,Patient transport services,Government,Australian Government,67
2005-06,NSW,Patient transport services,Government,State and local,361
2005-06,NSW,Private hospitals,Government,Australian Government,775
2005-06,NSW,Public health,Government,Australian Government,303
2005-06,NSW,Public health,Government,State and local,162
2005-06,NSW,Public hospitals,Government,Australian Government,4125
2005-06,NSW,Public hospitals,Government,State and local,5919
2005-06,NSW,Research,Government,Australian Government,567
2005-06,NSW,Research,Government,State and local,84
2005-06,VIC,Administration,Government,Australian Government,349
2005-06,VIC,Aids and appliances,Government,Australian Government,83
2005-06,VIC,All other medications,Government,Australian Government,22
2005-06,VIC,Benefit-paid pharmaceuticals,Government,Australian Government,1541
2005-06,VIC,Capital expenditure,Government,Australian Government,23
2005-06,VIC,Capital expenditure,Government,State and local,612
2005-06,VIC,Community health,Government,Australian Government,68
2005-06,VIC,Community health,Government,State and local,744
2005-06,VIC,Dental services,Government,Australian Government,91
2005-06,VIC,Dental services,Government,State and local,139
2005-06,VIC,Medical expense tax rebate,Government,Australian Government,101
2005-06,VIC,Medical services,Government,Australian Government,3395
2005-06,VIC,Other health practitioners,Government,Australian Government,187
2005-06,VIC,Patient transport services,Government,Australian Government,37
2005-06,VIC,Patient transport services,Government,State and local,244
2005-06,VIC,Private hospitals,Government,Australian Government,690
2005-06,VIC,Public health,Government,Australian Government,226
2005-06,VIC,Public health,Government,State and local,181
2005-06,VIC,Public hospitals,Government,Australian Government,2829
2005-06,VIC,Public hospitals,Government,State and local,3619
2005-06,VIC,Research,Government,Australian Government,633
2005-06,VIC,Research,Government,State and local,138
2005-06,QLD,Administration,Government,Australian Government,311
2005-06,QLD,Administration,Government,State and local,66
2005-06,QLD,Aids and appliances,Government,Australian Government,68
2005-06,QLD,All other medications,Government,Australian Government,22
2005-06,QLD,Benefit-paid pharmaceuticals,Government,Australian Government,1167
2005-06,QLD,Capital expenditure,Government,Australian Government,16
2005-06,QLD,Capital expenditure,Government,State and local,460
2005-06,QLD,Community health,Government,Australian Government,105
2005-06,QLD,Community health,Government,State and local,865
2005-06,QLD,Dental services,Government,Australian Government,103
2005-06,QLD,Dental services,Government,State and local,154
2005-06,QLD,Medical expense tax rebate,Government,Australian Government,69
2005-06,QLD,Medical services,Government,Australian Government,2761
2005-06,QLD,Other health practitioners,Government,Australian Government,170
2005-06,QLD,Patient transport services,Government,Australian Government,42
2005-06,QLD,Patient transport services,Government,State and local,381
2005-06,QLD,Private hospitals,Government,Australian Government,749
2005-06,QLD,Private hospitals,Government,State and local,35
2005-06,QLD,Public health,Government,Australian Government,182
2005-06,QLD,Public health,Government,State and local,140
2005-06,QLD,Public hospitals,Government,Australian Government,2256
2005-06,QLD,Public hospitals,Government,State and local,2800
2005-06,QLD,Research,Government,Australian Government,271
2005-06,QLD,Research,Government,State and local,41
2005-06,WA,Administration,Government,Australian Government,160
2005-06,WA,Administration,Government,State and local,166
2005-06,WA,Aids and appliances,Government,Australian Government,36
2005-06,WA,All other medications,Government,Australian Government,11
2005-06,WA,Benefit-paid pharmaceuticals,Government,Australian Government,526
2005-06,WA,Capital expenditure,Government,Australian Government,12
2005-06,WA,Capital expenditure,Government,State and local,161
2005-06,WA,Community health,Government,Australian Government,85
2005-06,WA,Community health,Government,State and local,437
2005-06,WA,Dental services,Government,Australian Government,59
2005-06,WA,Dental services,Government,State and local,59
2005-06,WA,Medical expense tax rebate,Government,Australian Government,32
2005-06,WA,Medical services,Government,Australian Government,1268
2005-06,WA,Other health practitioners,Government,Australian Government,78
2005-06,WA,Patient transport services,Government,Australian Government,20
2005-06,WA,Patient transport services,Government,State and local,69
2005-06,WA,Private hospitals,Government,Australian Government,302
2005-06,WA,Private hospitals,Government,State and local,246
2005-06,WA,Public health,Government,Australian Government,91
2005-06,WA,Public health,Government,State and local,92
2005-06,WA,Public hospitals,Government,Australian Government,1170
2005-06,WA,Public hospitals,Government,State and local,1459
2005-06,WA,Research,Government,Australian Government,184
2005-06,WA,Research,Government,State and local,29
2005-06,SA,Administration,Government,Australian Government,128
2005-06,SA,Administration,Government,State and local,234
2005-06,SA,Aids and appliances,Government,Australian Government,31
2005-06,SA,All other medications,Government,Australian Government,10
2005-06,SA,Benefit-paid pharmaceuticals,Government,Australian Government,516
2005-06,SA,Capital expenditure,Government,Australian Government,12
2005-06,SA,Capital expenditure,Government,State and local,159
2005-06,SA,Community health,Government,Australian Government,57
2005-06,SA,Community health,Government,State and local,355
2005-06,SA,Dental services,Government,Australian Government,49
2005-06,SA,Dental services,Government,State and local,57
2005-06,SA,Medical expense tax rebate,Government,Australian Government,21
2005-06,SA,Medical services,Government,Australian Government,1043
2005-06,SA,Other health practitioners,Government,Australian Government,71
2005-06,SA,Patient transport services,Government,Australian Government,13
2005-06,SA,Patient transport services,Government,State and local,68
2005-06,SA,Private hospitals,Government,Australian Government,198
2005-06,SA,Private hospitals,Government,State and local,4
2005-06,SA,Public health,Government,Australian Government,73
2005-06,SA,Public health,Government,State and local,67
2005-06,SA,Public hospitals,Government,Australian Government,1032
2005-06,SA,Public hospitals,Government,State and local,1230
2005-06,SA,Research,Government,Australian Government,174
2005-06,SA,Research,Government,State and local,24
2005-06,TAS,Administration,Government,Australian Government,47
2005-06,TAS,Administration,Government,State and local,48
2005-06,TAS,Aids and appliances,Government,Australian Government,9
2005-06,TAS,All other medications,Government,Australian Government,5
2005-06,TAS,Benefit-paid pharmaceuticals,Government,Australian Government,165
2005-06,TAS,Capital expenditure,Government,Australian Government,5
2005-06,TAS,Capital expenditure,Government,State and local,38
2005-06,TAS,Community health,Government,Australian Government,13
2005-06,TAS,Community health,Government,State and local,86
2005-06,TAS,Dental services,Government,Australian Government,10
2005-06,TAS,Dental services,Government,State and local,15
2005-06,TAS,Medical expense tax rebate,Government,Australian Government,5
2005-06,TAS,Medical services,Government,Australian Government,309
2005-06,TAS,Other health practitioners,Government,Australian Government,22
2005-06,TAS,Patient transport services,Government,Australian Government,4
2005-06,TAS,Patient transport services,Government,State and local,17
2005-06,TAS,Private hospitals,Government,Australian Government,68
2005-06,TAS,Private hospitals,Government,State and local,12
2005-06,TAS,Public health,Government,Australian Government,32
2005-06,TAS,Public health,Government,State and local,21
2005-06,TAS,Public hospitals,Government,Australian Government,272
2005-06,TAS,Public hospitals,Government,State and local,322
2005-06,TAS,Research,Government,Australian Government,39
2005-06,TAS,Research,Government,State and local,8
2005-06,ACT,Administration,Government,Australian Government,65
2005-06,ACT,Administration,Government,State and local,37
2005-06,ACT,Aids and appliances,Government,Australian Government,5
2005-06,ACT,All other medications,Government,Australian Government,2
2005-06,ACT,Benefit-paid pharmaceuticals,Government,Australian Government,77
2005-06,ACT,Capital expenditure,Government,Australian Government,3
2005-06,ACT,Capital expenditure,Government,State and local,36
2005-06,ACT,Community health,Government,Australian Government,7
2005-06,ACT,Community health,Government,State and local,126
2005-06,ACT,Dental services,Government,Australian Government,10
2005-06,ACT,Dental services,Government,State and local,9
2005-06,ACT,Medical expense tax rebate,Government,Australian Government,13
2005-06,ACT,Medical services,Government,Australian Government,211
2005-06,ACT,Other health practitioners,Government,Australian Government,12
2005-06,ACT,Patient transport services,Government,Australian Government,4
2005-06,ACT,Patient transport services,Government,State and local,6
2005-06,ACT,Private hospitals,Government,Australian Government,33
2005-06,ACT,Private hospitals,Government,State and local,0
2005-06,ACT,Public health,Government,Australian Government,20
2005-06,ACT,Public health,Government,State and local,23
2005-06,ACT,Public hospitals,Government,Australian Government,162
2005-06,ACT,Public hospitals,Government,State and local,384
2005-06,ACT,Research,Government,Australian Government,142
2005-06,ACT,Research,Government,State and local,16
2005-06,NT,Administration,Government,Australian Government,47
2005-06,NT,Aids and appliances,Government,Australian Government,3
2005-06,NT,All other medications,Government,Australian Government,4
2005-06,NT,Benefit-paid pharmaceuticals,Government,Australian Government,35
2005-06,NT,Capital expenditure,Government,Australian Government,6
2005-06,NT,Capital expenditure,Government,State and local,9
2005-06,NT,Community health,Government,Australian Government,77
2005-06,NT,Community health,Government,State and local,141
2005-06,NT,Dental services,Government,Australian Government,2
2005-06,NT,Dental services,Government,State and local,12
2005-06,NT,Medical expense tax rebate,Government,Australian Government,1
2005-06,NT,Medical services,Government,Australian Government,79
2005-06,NT,Medical services,Government,State and local,0
2005-06,NT,Other health practitioners,Government,Australian Government,5
2005-06,NT,Patient transport services,Government,Australian Government,5
2005-06,NT,Patient transport services,Government,State and local,37
2005-06,NT,Private hospitals,Government,Australian Government,9
2005-06,NT,Private hospitals,Government,State and local,0
2005-06,NT,Public health,Government,Australian Government,21
2005-06,NT,Public health,Government,State and local,55
2005-06,NT,Public hospitals,Government,Australian Government,158
2005-06,NT,Public hospitals,Government,State and local,314
2005-06,NT,Research,Government,Australian Government,8
2005-06,NT,Research,Government,State and local,1
2006-07,NSW,Administration,Government,Australian Government,460
2006-07,NSW,Aids and appliances,Government,Australian Government,131
2006-07,NSW,All other medications,Government,Australian Government,95
2006-07,NSW,Benefit-paid pharmaceuticals,Government,Australian Government,2159
2006-07,NSW,Capital expenditure,Government,Australian Government,28
2006-07,NSW,Capital expenditure,Government,State and local,518
2006-07,NSW,Community health,Government,Australian Government,123
2006-07,NSW,Community health,Government,State and local,1431
2006-07,NSW,Dental services,Government,Australian Government,189
2006-07,NSW,Dental services,Government,State and local,150
2006-07,NSW,Medical expense tax rebate,Government,Australian Government,173
2006-07,NSW,Medical services,Government,Australian Government,5031
2006-07,NSW,Other health practitioners,Government,Australian Government,323
2006-07,NSW,Patient transport services,Government,Australian Government,81
2006-07,NSW,Patient transport services,Government,State and local,383
2006-07,NSW,Private hospitals,Government,Australian Government,788
2006-07,NSW,Public health,Government,Australian Government,366
2006-07,NSW,Public health,Government,State and local,180
2006-07,NSW,Public hospitals,Government,Australian Government,4152
2006-07,NSW,Public hospitals,Government,State and local,6065
2006-07,NSW,Research,Government,Australian Government,632
2006-07,NSW,Research,Government,State and local,104
2006-07,VIC,Administration,Government,Australian Government,348
2006-07,VIC,Aids and appliances,Government,Australian Government,87
2006-07,VIC,All other medications,Government,Australian Government,64
2006-07,VIC,Benefit-paid pharmaceuticals,Government,Australian Government,1573
2006-07,VIC,Capital expenditure,Government,Australian Government,25
2006-07,VIC,Capital expenditure,Government,State and local,786
2006-07,VIC,Community health,Government,Australian Government,67
2006-07,VIC,Community health,Government,State and local,814
2006-07,VIC,Dental services,Government,Australian Government,98
2006-07,VIC,Dental services,Government,State and local,124
2006-07,VIC,Medical expense tax rebate,Government,Australian Government,114
2006-07,VIC,Medical services,Government,Australian Government,3545
2006-07,VIC,Other health practitioners,Government,Australian Government,228
2006-07,VIC,Patient transport services,Government,Australian Government,44
2006-07,VIC,Patient transport services,Government,State and local,269
2006-07,VIC,Private hospitals,Government,Australian Government,704
2006-07,VIC,Public health,Government,Australian Government,253
2006-07,VIC,Public health,Government,State and local,201
2006-07,VIC,Public hospitals,Government,Australian Government,2963
2006-07,VIC,Public hospitals,Government,State and local,3626
2006-07,VIC,Research,Government,Australian Government,713
2006-07,VIC,Research,Government,State and local,153
2006-07,QLD,Administration,Government,Australian Government,304
2006-07,QLD,Administration,Government,State and local,50
2006-07,QLD,Aids and appliances,Government,Australian Government,73
2006-07,QLD,All other medications,Government,Australian Government,56
2006-07,QLD,Benefit-paid pharmaceuticals,Government,Australian Government,1215
2006-07,QLD,Capital expenditure,Government,Australian Government,17
2006-07,QLD,Capital expenditure,Government,State and local,597
2006-07,QLD,Community health,Government,Australian Government,120
2006-07,QLD,Community health,Government,State and local,876
2006-07,QLD,Dental services,Government,Australian Government,109
2006-07,QLD,Dental services,Government,State and local,154
2006-07,QLD,Medical expense tax rebate,Government,Australian Government,79
2006-07,QLD,Medical services,Government,Australian Government,2849
2006-07,QLD,Other health practitioners,Government,Australian Government,195
2006-07,QLD,Patient transport services,Government,Australian Government,45
2006-07,QLD,Patient transport services,Government,State and local,474
2006-07,QLD,Private hospitals,Government,Australian Government,753
2006-07,QLD,Private hospitals,Government,State and local,38
2006-07,QLD,Public health,Government,Australian Government,235
2006-07,QLD,Public health,Government,State and local,143
2006-07,QLD,Public hospitals,Government,Australian Government,2310
2006-07,QLD,Public hospitals,Government,State and local,3470
2006-07,QLD,Research,Government,Australian Government,288
2006-07,QLD,Research,Government,State and local,48
2006-07,WA,Administration,Government,Australian Government,158
2006-07,WA,Administration,Government,State and local,64
2006-07,WA,Aids and appliances,Government,Australian Government,38
2006-07,WA,All other medications,Government,Australian Government,30
2006-07,WA,Benefit-paid pharmaceuticals,Government,Australian Government,548
2006-07,WA,Capital expenditure,Government,Australian Government,13
2006-07,WA,Capital expenditure,Government,State and local,166
2006-07,WA,Community health,Government,Australian Government,92
2006-07,WA,Community health,Government,State and local,671
2006-07,WA,Dental services,Government,Australian Government,61
2006-07,WA,Dental services,Government,State and local,62
2006-07,WA,Medical expense tax rebate,Government,Australian Government,37
2006-07,WA,Medical services,Government,Australian Government,1301
2006-07,WA,Other health practitioners,Government,Australian Government,89
2006-07,WA,Patient transport services,Government,Australian Government,20
2006-07,WA,Patient transport services,Government,State and local,73
2006-07,WA,Private hospitals,Government,Australian Government,309
2006-07,WA,Private hospitals,Government,State and local,229
2006-07,WA,Public health,Government,Australian Government,111
2006-07,WA,Public health,Government,State and local,87
2006-07,WA,Public hospitals,Government,Australian Government,1202
2006-07,WA,Public hospitals,Government,State and local,1691
2006-07,WA,Research,Government,Australian Government,190
2006-07,WA,Research,Government,State and local,32
2006-07,SA,Administration,Government,Australian Government,121
2006-07,SA,Administration,Government,State and local,227
2006-07,SA,Aids and appliances,Government,Australian Government,32
2006-07,SA,All other medications,Government,Australian Government,24
2006-07,SA,Benefit-paid pharmaceuticals,Government,Australian Government,526
2006-07,SA,Capital expenditure,Government,Australian Government,13
2006-07,SA,Capital expenditure,Government,State and local,98
2006-07,SA,Community health,Government,Australian Government,56
2006-07,SA,Community health,Government,State and local,339
2006-07,SA,Dental services,Government,Australian Government,50
2006-07,SA,Dental services,Government,State and local,56
2006-07,SA,Medical expense tax rebate,Government,Australian Government,22
2006-07,SA,Medical services,Government,Australian Government,1074
2006-07,SA,Other health practitioners,Government,Australian Government,78
2006-07,SA,Patient transport services,Government,Australian Government,14
2006-07,SA,Patient transport services,Government,State and local,85
2006-07,SA,Private hospitals,Government,Australian Government,197
2006-07,SA,Private hospitals,Government,State and local,6
2006-07,SA,Public health,Government,Australian Government,92
2006-07,SA,Public health,Government,State and local,73
2006-07,SA,Public hospitals,Government,Australian Government,1044
2006-07,SA,Public hospitals,Government,State and local,1409
2006-07,SA,Research,Government,Australian Government,186
2006-07,SA,Research,Government,State and local,26
2006-07,TAS,Administration,Government,Australian Government,40
2006-07,TAS,Aids and appliances,Government,Australian Government,10
2006-07,TAS,All other medications,Government,Australian Government,10
2006-07,TAS,Benefit-paid pharmaceuticals,Government,Australian Government,167
2006-07,TAS,Capital expenditure,Government,Australian Government,6
2006-07,TAS,Capital expenditure,Government,State and local,40
2006-07,TAS,Community health,Government,Australian Government,13
2006-07,TAS,Community health,Government,State and local,124
2006-07,TAS,Dental services,Government,Australian Government,10
2006-07,TAS,Dental services,Government,State and local,18
2006-07,TAS,Medical expense tax rebate,Government,Australian Government,6
2006-07,TAS,Medical services,Government,Australian Government,320
2006-07,TAS,Other health practitioners,Government,Australian Government,24
2006-07,TAS,Patient transport services,Government,Australian Government,3
2006-07,TAS,Patient transport services,Government,State and local,33
2006-07,TAS,Private hospitals,Government,Australian Government,70
2006-07,TAS,Private hospitals,Government,State and local,19
2006-07,TAS,Public health,Government,Australian Government,32
2006-07,TAS,Public health,Government,State and local,22
2006-07,TAS,Public hospitals,Government,Australian Government,286
2006-07,TAS,Public hospitals,Government,State and local,369
2006-07,TAS,Research,Government,Australian Government,32
2006-07,TAS,Research,Government,State and local,9
2006-07,ACT,Administration,Government,Australian Government,87
2006-07,ACT,Administration,Government,State and local,36
2006-07,ACT,Aids and appliances,Government,Australian Government,6
2006-07,ACT,All other medications,Government,Australian Government,4
2006-07,ACT,Benefit-paid pharmaceuticals,Government,Australian Government,78
2006-07,ACT,Capital expenditure,Government,Australian Government,4
2006-07,ACT,Capital expenditure,Government,State and local,24
2006-07,ACT,Community health,Government,Australian Government,8
2006-07,ACT,Community health,Government,State and local,116
2006-07,ACT,Dental services,Government,Australian Government,10
2006-07,ACT,Dental services,Government,State and local,9
2006-07,ACT,Medical expense tax rebate,Government,Australian Government,14
2006-07,ACT,Medical services,Government,Australian Government,232
2006-07,ACT,Other health practitioners,Government,Australian Government,17
2006-07,ACT,Patient transport services,Government,Australian Government,4
2006-07,ACT,Patient transport services,Government,State and local,4
2006-07,ACT,Private hospitals,Government,Australian Government,34
2006-07,ACT,Private hospitals,Government,State and local,0
2006-07,ACT,Public health,Government,Australian Government,24
2006-07,ACT,Public health,Government,State and local,22
2006-07,ACT,Public hospitals,Government,Australian Government,169
2006-07,ACT,Public hospitals,Government,State and local,426
2006-07,ACT,Research,Government,Australian Government,136
2006-07,ACT,Research,Government,State and local,16
2006-07,NT,Administration,Government,Australian Government,47
2006-07,NT,Aids and appliances,Government,Australian Government,3
2006-07,NT,All other medications,Government,Australian Government,5
2006-07,NT,Benefit-paid pharmaceuticals,Government,Australian Government,37
2006-07,NT,Capital expenditure,Government,Australian Government,6
2006-07,NT,Capital expenditure,Government,State and local,17
2006-07,NT,Community health,Government,Australian Government,90
2006-07,NT,Community health,Government,State and local,138
2006-07,NT,Dental services,Government,Australian Government,2
2006-07,NT,Dental services,Government,State and local,10
2006-07,NT,Medical expense tax rebate,Government,Australian Government,2
2006-07,NT,Medical services,Government,Australian Government,84
2006-07,NT,Other health practitioners,Government,Australian Government,5
2006-07,NT,Patient transport services,Government,Australian Government,6
2006-07,NT,Patient transport services,Government,State and local,41
2006-07,NT,Private hospitals,Government,Australian Government,9
2006-07,NT,Private hospitals,Government,State and local,0
2006-07,NT,Public health,Government,Australian Government,26
2006-07,NT,Public health,Government,State and local,55
2006-07,NT,Public hospitals,Government,Australian Government,159
2006-07,NT,Public hospitals,Government,State and local,340
2006-07,NT,Research,Government,Australian Government,10
2006-07,NT,Research,Government,State and local,0
2007-08,NSW,Administration,Government,Australian Government,510
2007-08,NSW,Aids and appliances,Government,Australian Government,143
2007-08,NSW,All other medications,Government,Australian Government,100
2007-08,NSW,Benefit-paid pharmaceuticals,Government,Australian Government,2339
2007-08,NSW,Capital expenditure,Government,Australian Government,28
2007-08,NSW,Capital expenditure,Government,State and local,654
2007-08,NSW,Community health,Government,Australian Government,156
2007-08,NSW,Community health,Government,State and local,1457
2007-08,NSW,Dental services,Government,Australian Government,280
2007-08,NSW,Dental services,Government,State and local,170
2007-08,NSW,Medical expense tax rebate,Government,Australian Government,170
2007-08,NSW,Medical services,Government,Australian Government,5487
2007-08,NSW,Other health practitioners,Government,Australian Government,405
2007-08,NSW,Patient transport services,Government,Australian Government,95
2007-08,NSW,Patient transport services,Government,State and local,412
2007-08,NSW,Private hospitals,Government,Australian Government,844
2007-08,NSW,Public health,Government,Australian Government,483
2007-08,NSW,Public health,Government,State and local,178
2007-08,NSW,Public hospitals,Government,Australian Government,4526
2007-08,NSW,Public hospitals,Government,State and local,5892
2007-08,NSW,Research,Government,Australian Government,725
2007-08,NSW,Research,Government,State and local,124
2007-08,VIC,Administration,Government,Australian Government,352
2007-08,VIC,Aids and appliances,Government,Australian Government,96
2007-08,VIC,All other medications,Government,Australian Government,70
2007-08,VIC,Benefit-paid pharmaceuticals,Government,Australian Government,1708
2007-08,VIC,Capital expenditure,Government,Australian Government,25
2007-08,VIC,Capital expenditure,Government,State and local,308
2007-08,VIC,Community health,Government,Australian Government,88
2007-08,VIC,Community health,Government,State and local,852
2007-08,VIC,Dental services,Government,Australian Government,129
2007-08,VIC,Dental services,Government,State and local,122
2007-08,VIC,Medical expense tax rebate,Government,Australian Government,112
2007-08,VIC,Medical services,Government,Australian Government,3898
2007-08,VIC,Other health practitioners,Government,Australian Government,298
2007-08,VIC,Patient transport services,Government,Australian Government,50
2007-08,VIC,Patient transport services,Government,State and local,262
2007-08,VIC,Private hospitals,Government,Australian Government,772
2007-08,VIC,Public health,Government,Australian Government,368
2007-08,VIC,Public health,Government,State and local,207
2007-08,VIC,Public hospitals,Government,Australian Government,3208
2007-08,VIC,Public hospitals,Government,State and local,3974
2007-08,VIC,Research,Government,Australian Government,791
2007-08,VIC,Research,Government,State and local,174
2007-08,QLD,Administration,Government,Australian Government,342
2007-08,QLD,Administration,Government,State and local,72
2007-08,QLD,Aids and appliances,Government,Australian Government,80
2007-08,QLD,All other medications,Government,Australian Government,59
2007-08,QLD,Benefit-paid pharmaceuticals,Government,Australian Government,1321
2007-08,QLD,Capital expenditure,Government,Australian Government,17
2007-08,QLD,Capital expenditure,Government,State and local,676
2007-08,QLD,Community health,Government,Australian Government,148
2007-08,QLD,Community health,Government,State and local,1072
2007-08,QLD,Dental services,Government,Australian Government,123
2007-08,QLD,Dental services,Government,State and local,155
2007-08,QLD,Medical expense tax rebate,Government,Australian Government,77
2007-08,QLD,Medical services,Government,Australian Government,3027
2007-08,QLD,Other health practitioners,Government,Australian Government,235
2007-08,QLD,Patient transport services,Government,Australian Government,57
2007-08,QLD,Patient transport services,Government,State and local,489
2007-08,QLD,Private hospitals,Government,Australian Government,818
2007-08,QLD,Private hospitals,Government,State and local,26
2007-08,QLD,Public health,Government,Australian Government,298
2007-08,QLD,Public health,Government,State and local,178
2007-08,QLD,Public hospitals,Government,Australian Government,2491
2007-08,QLD,Public hospitals,Government,State and local,3829
2007-08,QLD,Research,Government,Australian Government,324
2007-08,QLD,Research,Government,State and local,56
2007-08,WA,Administration,Government,Australian Government,166
2007-08,WA,Administration,Government,State and local,47
2007-08,WA,Aids and appliances,Government,Australian Government,42
2007-08,WA,All other medications,Government,Australian Government,30
2007-08,WA,Benefit-paid pharmaceuticals,Government,Australian Government,603
2007-08,WA,Capital expenditure,Government,Australian Government,13
2007-08,WA,Capital expenditure,Government,State and local,227
2007-08,WA,Community health,Government,Australian Government,108
2007-08,WA,Community health,Government,State and local,675
2007-08,WA,Dental services,Government,Australian Government,68
2007-08,WA,Dental services,Government,State and local,61
2007-08,WA,Medical expense tax rebate,Government,Australian Government,36
